,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
0,1,4,-0.9374821446508234,1,91,-0.08318376022278404,-0.7263897834399132,11,7,-0.8766644047489469,0.3060988303318405
1,1,4,-0.9374821446508234,28,59,-0.08318376022278404,0.06798904629493698,96,7,-0.9138311522889256,-0.32317983238512094
2,7,3,0.24025338122776266,17,31,-0.08318376022278404,0.06798904629493698,88,3,-0.2696075282626288,-0.7856835873494602
3,1,4,0.1378415963687555,31,87,1.3550902875001938,1.6567467057646377,34,7,-0.3067742758026075,2.0161948281897373
4,1,4,-0.9374821446508234,1,33,-0.08318376022278404,0.06798904629493698,93,7,-0.8766644047489469,0.968444070084593
5,0,3,0.24025338122776266,37,43,-0.802320784084273,1.5822736904769952,42,3,0.027726452057200486,-1.0355389837770683
6,1,4,0.1378415963687555,31,78,1.3550902875001938,0.06798904629493698,27,5,-0.0466070430227569,1.4486946969209045
7,1,4,-0.9374821446508234,28,59,-0.08318376022278404,0.06798904629493698,96,7,-0.9138311522889256,0.047691240620796015
8,2,4,-0.5790408976442973,17,76,1.3550902875001938,1.6567467057646377,29,3,-0.963386815675564,0.5278419252985368
9,0,4,-0.5790408976442973,14,79,-0.08318376022278404,0.06798904629493698,63,3,-0.5917193402757772,-0.5072732884729827
10,7,3,0.24025338122776266,37,31,-0.802320784084273,1.5822736904769952,88,3,-0.2696075282626288,-1.0442482290239736
11,7,3,0.24025338122776266,17,48,-0.802320784084273,1.5822736904769952,26,3,-0.2696075282626288,-1.1140792429626838
12,1,4,0.1378415963687555,31,97,1.3550902875001938,0.06798904629493698,7,7,-0.3067742758026075,1.877018233653947
13,4,3,0.24025338122776266,17,48,-0.802320784084273,0.06798904629493698,81,3,0.15161561052379613,-0.8943349911674087
14,1,4,-1.6031587462343726,39,77,-0.08318376022278404,0.06798904629493698,62,7,-1.434165617848627,0.1957484098181845
15,1,4,-0.9374821446508234,1,91,-0.08318376022278404,0.06798904629493698,11,7,-0.8766644047489469,0.5614653229320804
16,4,3,0.24025338122776266,17,86,-0.08318376022278404,0.06798904629493698,81,3,0.15161561052379613,-0.5429669165340696
17,1,4,0.1378415963687555,31,14,1.3550902875001938,1.6567467057646377,60,7,-0.3067742758026075,2.4738585271889924
18,10,3,0.24025338122776266,17,0,-0.08318376022278404,-1.51456252856746,24,3,0.15161561052379613,-0.8941922166551642
19,4,4,-0.9374821446508234,15,79,-0.08318376022278404,-0.7263897834399132,63,3,-1.0624981424488404,-0.20887455788229634
21,10,1,0.24025338122776266,14,40,-0.08318376022278404,0.06798904629493698,90,3,0.5232830859235825,-0.18031965543342687
22,7,3,0.24025338122776266,37,7,-0.802320784084273,1.5822736904769952,14,3,-0.2696075282626288,-1.2382787911640418
23,4,0,-0.9374821446508234,6,79,-0.08318376022278404,0.06798904629493698,63,3,-0.5669415085824581,-0.4373137774732524
24,7,4,0.24025338122776266,17,76,-0.08318376022278404,0.06798904629493698,88,3,-0.20766294902933125,-0.6657529970642084
25,4,3,0.24025338122776266,37,48,-0.802320784084273,-1.51456252856746,26,3,0.2755047689903912,-1.0089258146947218
26,1,4,-0.9374821446508234,28,112,-0.08318376022278404,0.06798904629493698,96,5,-0.9014422364422661,-0.0375451431890794
27,4,3,0.24025338122776266,17,79,-0.08318376022278404,0.06798904629493698,73,3,0.15161561052379613,-0.4644409347996784
28,4,4,0.24025338122776266,17,93,-0.08318376022278404,0.06798904629493698,63,3,-0.24482969656930995,0.2465761361771721
29,7,3,1.110753552529327,17,79,-0.08318376022278404,-1.51456252856746,46,3,0.5232830859235825,-0.3273774030451049
30,3,3,0.24025338122776266,17,100,-0.802320784084273,0.06798904629493698,94,3,-0.23244078072265037,-1.2568537552070314
31,2,3,-0.5790408976442973,37,13,-1.1618892960150173,0.06798904629493698,14,3,-0.5297747610424797,-1.3225157533882068
