,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,sold
0,1,4,-0.9374821446508234,36,26,-0.08318376022278404,-0.7263897834399132,84,6,-0.8766644047489469,1
1,1,4,-0.9374821446508234,10,30,-0.08318376022278404,0.06798904629493698,73,6,-0.9138311522889256,1
2,7,3,0.24025338122776266,25,91,-0.08318376022278404,0.06798904629493698,58,3,-0.2696075282626288,1
3,1,4,0.1378415963687555,24,64,1.3550902875001938,1.6567467057646377,71,6,-0.3067742758026075,1
4,1,4,-0.9374821446508234,36,88,-0.08318376022278404,0.06798904629493698,106,6,-0.8766644047489469,1
5,0,3,0.24025338122776266,7,57,-0.802320784084273,1.5822736904769952,101,3,0.027726452057200486,1
6,1,4,0.1378415963687555,24,1,1.3550902875001938,0.06798904629493698,8,8,-0.0466070430227569,1
7,1,4,-0.9374821446508234,10,30,-0.08318376022278404,0.06798904629493698,73,6,-0.9138311522889256,0
8,2,4,-0.5790408976442973,25,87,1.3550902875001938,1.6567467057646377,69,3,-0.963386815675564,1
9,0,4,-0.5790408976442973,29,38,-0.08318376022278404,0.06798904629493698,70,3,-0.5917193402757772,0
10,7,3,0.24025338122776266,7,91,-0.802320784084273,1.5822736904769952,58,3,-0.2696075282626288,1
11,7,3,0.24025338122776266,25,83,-0.802320784084273,1.5822736904769952,97,3,-0.2696075282626288,0
12,1,4,0.1378415963687555,24,29,1.3550902875001938,0.06798904629493698,87,6,-0.3067742758026075,1
13,4,3,0.24025338122776266,25,83,-0.802320784084273,0.06798904629493698,65,3,0.15161561052379613,0
14,1,4,-1.6031587462343726,21,68,-0.08318376022278404,0.06798904629493698,33,6,-1.434165617848627,1
15,1,4,-0.9374821446508234,36,26,-0.08318376022278404,0.06798904629493698,84,6,-0.8766644047489469,1
16,4,3,0.24025338122776266,25,94,-0.08318376022278404,0.06798904629493698,65,3,0.15161561052379613,0
17,1,4,0.1378415963687555,24,77,1.3550902875001938,1.6567467057646377,9,6,-0.3067742758026075,1
18,10,3,0.24025338122776266,25,7,-0.08318376022278404,-1.51456252856746,20,3,0.15161561052379613,1
19,4,4,-0.9374821446508234,16,38,-0.08318376022278404,-0.7263897834399132,70,3,-1.0624981424488404,1
21,10,1,0.24025338122776266,29,90,-0.08318376022278404,0.06798904629493698,56,3,0.5232830859235825,1
22,7,3,0.24025338122776266,7,63,-0.802320784084273,1.5822736904769952,57,3,-0.2696075282626288,1
23,4,0,-0.9374821446508234,20,38,-0.08318376022278404,0.06798904629493698,70,3,-0.5669415085824581,1
24,7,4,0.24025338122776266,25,87,-0.08318376022278404,0.06798904629493698,58,3,-0.20766294902933125,0
25,4,3,0.24025338122776266,7,83,-0.802320784084273,-1.51456252856746,97,3,0.2755047689903912,1
26,1,4,-0.9374821446508234,10,114,-0.08318376022278404,0.06798904629493698,73,8,-0.9014422364422661,1
27,4,3,0.24025338122776266,25,38,-0.08318376022278404,0.06798904629493698,98,3,0.15161561052379613,1
28,4,4,0.24025338122776266,25,6,-0.08318376022278404,0.06798904629493698,70,3,-0.24482969656930995,1
29,7,3,1.110753552529327,25,38,-0.08318376022278404,-1.51456252856746,10,3,0.5232830859235825,0
30,3,3,0.24025338122776266,25,106,-0.802320784084273,0.06798904629493698,41,3,-0.23244078072265037,1
31,2,3,-0.5790408976442973,7,108,-1.1618892960150173,0.06798904629493698,57,3,-0.5297747610424797,1
32,7,3,1.110753552529327,25,115,-0.802320784084273,1.5822736904769952,98,3,0.7834503187034332,1
33,4,4,-0.9374821446508234,3,87,1.3550902875001938,1.6567467057646377,70,3,-1.0872759741421596,0
34,1,4,-0.9374821446508234,10,114,-0.08318376022278404,0.06798904629493698,73,8,-0.9014422364422661,0
35,10,3,-0.5790408976442973,7,5,-0.802320784084273,0.06798904629493698,39,3,-0.7899419938223302,0
36,0,3,0.24025338122776266,7,62,-0.802320784084273,-1.51456252856746,58,4,0.027726452057200486,1
37,4,3,1.110753552529327,29,38,-0.08318376022278404,0.06798904629493698,98,3,0.8949505613233689,1
38,7,3,0.24025338122776266,7,91,-0.802320784084273,-1.51456252856746,58,3,-0.2696075282626288,1
39,7,3,0.24025338122776266,25,38,-0.08318376022278404,0.06798904629493698,51,3,0.027726452057200486,0
40,2,3,0.24025338122776266,25,83,-0.802320784084273,-1.51456252856746,58,4,-0.09616270640939516,0
41,4,1,0.24025338122776266,29,72,1.3550902875001938,0.06798904629493698,99,3,0.7091168236234757,0
42,2,3,0.24025338122776266,7,91,-0.08318376022278404,-1.51456252856746,20,4,0.2755047689903912,0
43,0,3,0.24025338122776266,29,38,-0.802320784084273,0.06798904629493698,70,3,0.15161561052379613,0
