Ram,ScreenResolution,Cpu,Memory,Price
-0.083183760222784,1,91,-0.7263897834399132,0.3060988303318405
-0.083183760222784,28,59,0.0679890462949369,-0.3231798323851209
-0.083183760222784,17,31,0.0679890462949369,-0.7856835873494602
1.3550902875001938,31,87,1.6567467057646377,2.0161948281897373
-0.083183760222784,1,33,0.0679890462949369,0.968444070084593
-0.802320784084273,37,43,1.5822736904769952,-1.0355389837770683
1.3550902875001938,31,78,0.0679890462949369,1.4486946969209045
-0.083183760222784,28,59,0.0679890462949369,0.047691240620796
1.3550902875001938,17,76,1.6567467057646377,0.5278419252985368
-0.083183760222784,14,79,0.0679890462949369,-0.5072732884729827
-0.802320784084273,37,31,1.5822736904769952,-1.0442482290239736
-0.802320784084273,17,48,1.5822736904769952,-1.1140792429626838
1.3550902875001938,31,97,0.0679890462949369,1.877018233653947
-0.802320784084273,17,48,0.0679890462949369,-0.8943349911674087
-0.083183760222784,39,77,0.0679890462949369,0.1957484098181845
-0.083183760222784,1,91,0.0679890462949369,0.5614653229320804
-0.083183760222784,17,86,0.0679890462949369,-0.5429669165340696
1.3550902875001938,31,14,1.6567467057646377,2.4738585271889924
-0.083183760222784,17,0,-1.51456252856746,-0.8941922166551642
-0.083183760222784,15,79,-0.7263897834399132,-0.2088745578822963
-0.083183760222784,14,40,0.0679890462949369,-0.1803196554334268
-0.802320784084273,37,7,1.5822736904769952,-1.2382787911640418
-0.083183760222784,6,79,0.0679890462949369,-0.4373137774732524
-0.083183760222784,17,76,0.0679890462949369,-0.6657529970642084
-0.802320784084273,37,48,-1.51456252856746,-1.0089258146947218
-0.083183760222784,28,112,0.0679890462949369,-0.0375451431890794
-0.083183760222784,17,79,0.0679890462949369,-0.4644409347996784
-0.083183760222784,17,93,0.0679890462949369,0.2465761361771721
-0.083183760222784,17,79,-1.51456252856746,-0.3273774030451049
-0.802320784084273,17,100,0.0679890462949369,-1.2568537552070314
-1.1618892960150171,37,13,0.0679890462949369,-1.3225157533882068
-0.802320784084273,17,90,1.5822736904769952,-0.9798569240017728
1.3550902875001938,20,76,1.6567467057646377,1.0618186010923965
-0.083183760222784,28,112,0.0679890462949369,-0.1817474005558703
-0.802320784084273,37,36,0.0679890462949369,-1.251128497266033
