,Date,Open,High,Low,Close,Adj Close,Volume
0,0,-0.7990663225148223,-0.7993131260788376,-0.7984528673769286,-0.7989548869316102,-0.7989243871099173,0.0
1,1,-0.7992321894363873,-0.7994779838988689,-0.7986197896060552,-0.7991207532728198,-0.799090251638952,0.0
2,2,-0.7991615824079676,-0.7994078064296404,-0.7985487333492403,-0.7990501464914487,-0.7990196456289961,0.0
3,3,-0.7987939840654283,-0.7990424444826868,-0.7981787962081817,-0.798682549435107,-0.798652052588841,0.0
4,4,-0.7986875126496729,-0.7989366208179592,-0.7980716473813482,-0.7985760783918866,-0.7985455827088714,0.0
5,5,-0.7986281170317897,-0.7988775865512636,-0.7980118738662682,-0.798516682981824,-0.7984861879477342,0.0
6,6,-0.7984857812286985,-0.798736116691037,-0.7978686324694161,-0.7983743476767545,-0.798343854197751,0.0
7,7,-0.7984387121552519,-0.7986893339765204,-0.7978212639248714,-0.7983272787679989,-0.7982967858032474,0.0
8,8,-0.798545176734508,-0.7987951508463406,-0.7979284058717092,-0.7984337429747438,-0.7984032488468161,0.0
9,9,-0.7984263788863897,-0.7986770757408258,-0.7978088521871274,-0.79831494554229,-0.7982844527122852,0.0
10,10,-0.7983087027845234,-0.7985601155570808,-0.7976904273857677,-0.798197269852163,-0.7981667783078256,0.0
11,11,-0.798083433408576,-0.7983362166754465,-0.7974637247615655,-0.7979720012644154,-0.797941512181253,0.0
12,12,-0.7979175664870111,-0.7981713588554152,-0.7972968025324387,-0.7978061349232057,-0.7977756476522183,0.0
13,13,-0.7980599022901024,-0.798312828715642,-0.7974400439292909,-0.7979484702282753,-0.7979179814022015,0.0
14,14,-0.798284049807724,-0.7985356125641146,-0.7976656175574841,-0.7981726169616224,-0.7981421256866306,0.0
15,15,-0.7982493072787139,-0.7985010814017771,-0.7976306539834745,-0.7981378745541737,-0.7981073836587604,0.0
16,16,-0.7980599022901024,-0.798312828715642,-0.7974400439292909,-0.7979484702282753,-0.7979179814022015,0.0
17,17,-0.79801171135833,-0.7982649309679639,-0.7973915463887371,-0.7979002794651191,-0.7978697911655542,0.0
18,18,-0.7980711069762132,-0.7983239652346594,-0.797451319903817,-0.7979596748751818,-0.7979291859266915,0.0
19,19,-0.7980946449311862,-0.7983473599893713,-0.7974750076160873,-0.7979832127477973,-0.7979527235421437,0.0
20,20,-0.798284049807724,-0.7985356125641146,-0.7976656175574841,-0.7981726169616224,-0.7981421256866306,0.0
21,21,-0.798545176734508,-0.7987951508463406,-0.7979284058717092,-0.7984337429747438,-0.7984032488468161,0.0
22,22,-0.7990192534413757,-0.7992663433643211,-0.7984054988323839,-0.7989078180228546,-0.7988773187154136,0.0
23,23,-0.7987581196780925,-0.7990067982871877,-0.798142703638163,-0.7986466851732579,-0.7986161887188273,0.0
24,24,-0.7986875126496729,-0.7989366208179592,-0.7980716473813482,-0.7985760783918866,-0.7985455827088714,0.0
25,25,-0.7983087027845234,-0.7985601155570808,-0.7976904273857677,-0.798197269852163,-0.7981667783078256,0.0
26,26,-0.798106971363549,-0.7983596114301585,-0.7974874124738356,-0.7979955391370309,-0.7979650497967052,0.0
27,27,-0.7981540404369957,-0.7984063941446751,-0.7975347810183804,-0.7980426080457865,-0.7980121181912089,0.0
28,28,-0.797811094959182,-0.7980655350792958,-0.7971896535928185,-0.7976996637679121,-0.7976691776601768,0.0
29,29,-0.7979769688293199,-0.7982303998056264,-0.7973565828147277,-0.7978655370576705,-0.7978350491376842,0.0
30,30,-0.797988173403357,-0.7982415362132519,-0.797367858676467,-0.7978767415925037,-0.7978462535501021,0.0
31,31,-0.7980475690212403,-0.7983005704799475,-0.7974276321915468,-0.7979361370025663,-0.7979056483112393,0.0
32,32,-0.7983087027845234,-0.7985601155570808,-0.7976904273857677,-0.798197269852163,-0.7981667783078256,0.0
33,33,-0.7983199141950599,-0.7985712587596138,-0.7977017101275026,-0.7982084812234715,-0.7981779895566442,0.0
34,34,-0.7986404435762262,-0.7988898381034427,-0.7980242788368034,-0.798529009483131,-0.7984985143143678,0.0
35,35,-0.7987581196780925,-0.7990067982871877,-0.798142703638163,-0.7986466851732579,-0.7986161887188273,0.0
36,36,-0.799114513334521,-0.7993610237151239,-0.7985013648046956,-0.799003077582693,-0.7989725772344924,0.0
37,37,-0.7993745253515522,-0.7996194538704875,-0.7987630311156941,-0.7992630886899627,-0.7992325855010073,0.0
38,38,-0.7997656616490645,-0.800008210572153,-0.799156655969023,-0.7996542236189199,-0.7996237161566145,0.0
39,39,-0.7995997946154259,-0.7998433526407299,-0.7989897336271096,-0.799488357165637,-0.7994578515155077,0.0
40,40,-0.7995291875870063,-0.7997731751715014,-0.7989186773702948,-0.7994177503842658,-0.799387245505552,0.0
41,41,-0.8002755959067688,-0.8005150424907251,-0.7996698346197206,-0.8001641560924045,-0.8001336430588251,0.0
42,42,-0.8008438106484561,-0.8010798003263468,-0.8002416645566979,-0.8007323688459532,-0.8007018496043576,0.0
43,43,-0.8006073366984716,-0.8008447650370871,-0.8000036860707563,-0.8004958957233724,-0.8004653790653671,0.0
44,44,-0.8007855368888986,-0.8010218810928129,-0.800183020037627,-0.800674095290291,-0.8006435766853639,0.0
45,45,-0.8015666877376713,-0.8017982795743743,-0.8009691408610625,-0.8014552434058784,-0.8014247162665071,0.0
46,46,-0.801508410615901,-0.8017403569990825,-0.8009104929583872,-0.8013969664880152,-0.8013664399853491,0.0
47,47,-0.8010343373833196,-0.8012691679342517,-0.8004334034941039,-0.8009228949141788,-0.8008923735909881,0.0
48,48,-0.8010220109509568,-0.8012569164934646,-0.8004209986363554,-0.8009105685249451,-0.8008800473364266,0.0
49,49,-0.8010690800244035,-0.8013036992079812,-0.8004683671809001,-0.8009576374337009,-0.8009271157309302,0.0
50,50,-0.8017325581335226,-0.8019631408475552,-0.8011360665865803,-0.8016211132213623,-0.8015905842697781,0.0
51,51,-0.8021124863827113,-0.8023407576884456,-0.8015184120817788,-0.8020010401412121,-0.8019705070387312,0.0
52,52,-0.8018042835459814,-0.8020344298967956,-0.8012082483430132,-0.8016928383828597,-0.8016623086476412,0.0
53,53,-0.8016260867177673,-0.8018573171828276,-0.8010289177597469,-0.8015146421781421,-0.8014841143898087,0.0
54,54,-0.8013537482683731,-0.8015866355866768,-0.8007548465909999,-0.8012423046816387,-0.8012117798687323,0.0
55,55,-0.8009155395352014,-0.801151092828737,-0.8003138498095219,-0.8008040974817248,-0.800773577456457,0.0
56,56,-0.8007496725015628,-0.8009862348973138,-0.8001469274676085,-0.8006382310284419,-0.8006077128153503,0.0
57,57,-0.8009390740158879,-0.8011744841302993,-0.8003375340254009,-0.800827631880066,-0.8007971115976729,0.0
58,58,-0.8008561439173182,-0.8010920585620414,-0.800254076294442,-0.8007447020716623,-0.8007141826953198,0.0
59,59,-0.800713808114227,-0.8009505887018147,-0.8001108348975898,-0.8006023667665927,-0.8005718489453366,0.0
60,60,-0.8006073366984716,-0.8008447650370871,-0.8000036860707563,-0.8004958957233724,-0.8004653790653671,0.0
61,61,-0.8008438106484561,-0.8010798003263468,-0.8002416645566979,-0.8007323688459532,-0.8007018496043576,0.0
62,62,-0.8013178838810374,-0.8015509893911777,-0.8007187540209814,-0.8012064404197897,-0.8011759159987187,0.0
63,63,-0.8009984729959839,-0.8012335217387526,-0.8003973109240852,-0.8008870306523296,-0.8008565097209744,0.0
